Tid	Kanal A	Kanal B
(s)	(V)	(V)

0.00000000	7.00787400	4.64566900
0.00006120	6.92913400	4.64566900
0.00012240	6.85039400	4.64566900
0.00018360	6.77165400	4.64566900
0.00024480	6.69291400	4.56692900
0.00030600	6.69291400	4.56692900
0.00036720	6.53543300	4.56692900
0.00042840	6.53543300	4.56692900
0.00048960	6.37795300	4.56692900
0.00055080	6.29921200	4.56692900
0.00061200	6.22047200	4.56692900
0.00067320	6.14173200	4.56692900
0.00073440	6.06299200	4.48818900
0.00079560	5.98425200	4.48818900
0.00085680	5.90551200	4.48818900
0.00091800	5.74803200	4.48818900
0.00097920	5.66929100	4.48818900
0.00104040	5.59055100	4.48818900
0.00110160	5.51181100	4.48818900
0.00116280	5.35433100	4.48818900
0.00122400	5.27559000	4.48818900
0.00128520	5.19685000	4.48818900
0.00134640	5.11811000	4.40944900
0.00140760	4.96063000	4.40944900
0.00146880	4.88189000	4.40944900
0.00153000	4.80315000	4.40944900
0.00159120	4.64566900	4.40944900
0.00165240	4.56692900	4.40944900
0.00171360	4.40944900	4.40944900
0.00177480	4.33070900	4.40944900
0.00183600	4.25196800	4.40944900
0.00189720	4.09448800	4.33070900
0.00195840	4.01574800	4.33070900
0.00201960	3.85826800	4.33070900
0.00208080	3.77952800	4.33070900
0.00214200	3.70078700	4.33070900
0.00220320	3.62204700	4.33070900
0.00226440	3.46456700	4.33070900
0.00232560	3.38582700	4.33070900
0.00238680	3.30708700	4.33070900
0.00244800	3.22834600	4.25196800
0.00250920	3.07086600	4.25196800
0.00257040	2.99212600	4.25196800
0.00263160	2.91338600	4.25196800
0.00269280	2.75590500	4.25196800
0.00275400	2.67716500	4.25196800
0.00281520	2.59842500	4.25196800
0.00287640	2.51968500	4.25196800
0.00293760	2.44094500	4.17322800
0.00299880	2.28346500	4.17322800
0.00306000	2.20472400	4.17322800
0.00312120	2.12598400	4.25196800
0.00318240	2.04724400	4.17322800
0.00324360	1.88976400	4.17322800
0.00330480	1.88976400	4.17322800
0.00336600	1.73228300	4.17322800
0.00342720	1.65354300	4.17322800
0.00348840	1.57480300	4.17322800
0.00354960	1.49606300	4.09448800
0.00361080	1.41732300	4.09448800
0.00367200	1.33858300	4.09448800
0.00373320	1.25984300	4.09448800
0.00379440	1.18110200	4.09448800
0.00385560	1.10236200	4.09448800
0.00391680	1.02362200	4.09448800
0.00397800	1.02362200	4.09448800
0.00403920	0.94488190	4.09448800
0.00410040	0.86614170	4.09448800
0.00416160	0.78740160	4.01574800
0.00422280	0.78740160	4.01574800
0.00428400	0.70866140	4.01574800
0.00434520	0.62992130	4.01574800
0.00440640	0.62992130	4.01574800
0.00446760	0.62992130	4.01574800
0.00452880	0.55118110	4.01574800
0.00459000	0.55118110	4.01574800
0.00465120	0.55118110	4.01574800
0.00471240	0.47244100	4.01574800
0.00477360	0.47244100	3.93700800
0.00483480	0.47244100	3.93700800
0.00489600	0.47244100	3.93700800
0.00495720	0.47244100	3.93700800
0.00501840	0.47244100	3.93700800
0.00507960	0.47244100	3.93700800
0.00514080	0.47244100	3.93700800
0.00520200	0.47244100	3.93700800
