Tid	Kanal A	Kanal B
(ms)	(V)	(V)

0.00000000	5.27559000	2.44094500
0.03060800	5.27559000	2.44094500
0.06121600	5.19685000	2.36220500
0.09182400	5.11811000	2.44094500
0.12243200	5.03937000	2.36220500
0.15304000	4.88189000	2.44094500
0.18364800	4.88189000	2.36220500
0.21425600	4.72441000	2.44094500
0.24486400	4.72441000	2.36220500
0.27547200	4.64566900	2.36220500
0.30608000	4.48818900	2.36220500
0.33668800	4.48818900	2.36220500
0.36729600	4.40944900	2.36220500
0.39790400	4.33070900	2.36220500
0.42851200	4.25196800	2.36220500
0.45912000	4.09448800	2.36220500
0.48972800	4.01574800	2.36220500
0.52033600	3.93700800	2.36220500
0.55094400	3.85826800	2.36220500
0.58155200	3.77952800	2.36220500
0.61216000	3.70078700	2.36220500
0.64276800	3.62204700	2.36220500
0.67337600	3.54330700	2.36220500
0.70398400	3.54330700	2.36220500
0.73459200	3.38582700	2.28346500
0.76520000	3.30708700	2.28346500
0.79580800	3.30708700	2.28346500
0.82641600	3.22834600	2.36220500
0.85702400	3.14960600	2.28346500
0.88763200	3.07086600	2.28346500
0.91824000	2.91338600	2.28346500
0.94884800	2.91338600	2.28346500
0.97945600	2.83464600	2.28346500
1.01006400	2.75590500	2.28346500
1.04067200	2.67716500	2.28346500
1.07128000	2.59842500	2.28346500
1.10188800	2.51968500	2.28346500
1.13249600	2.44094500	2.28346500
1.16310400	2.36220500	2.28346500
1.19371200	2.28346500	2.28346500
1.22432000	2.20472400	2.28346500
1.25492800	2.12598400	2.28346500
1.28553600	2.04724400	2.28346500
1.31614400	1.96850400	2.28346500
1.34675200	1.96850400	2.28346500
1.37736000	1.88976400	2.20472400
1.40796800	1.81102400	2.20472400
1.43857600	1.73228300	2.20472400
1.46918400	1.65354300	2.20472400
1.49979200	1.57480300	2.20472400
1.53040000	1.57480300	2.20472400
1.56100800	1.49606300	2.20472400
1.59161600	1.49606300	2.20472400
1.62222400	1.41732300	2.20472400
1.65283200	1.33858300	2.20472400
1.68344000	1.33858300	2.20472400
1.71404800	1.25984300	2.20472400
1.74465601	1.18110200	2.20472400
1.77526401	1.18110200	2.20472400
1.80587201	1.10236200	2.20472400
1.83648001	1.10236200	2.20472400
1.86708801	1.02362200	2.20472400
1.89769601	0.94488190	2.20472400
1.92830401	0.94488190	2.20472400
1.95891201	0.94488190	2.12598400
1.98952001	0.86614170	2.20472400
2.02012801	0.86614170	2.12598400
2.05073601	0.86614170	2.12598400
2.08134401	0.78740160	2.12598400
2.11195201	0.78740160	2.20472400
2.14256001	0.70866140	2.12598400
2.17316801	0.70866140	2.12598400
2.20377601	0.70866140	2.12598400
2.23438401	0.70866140	2.12598400
2.26499201	0.70866140	2.12598400
2.29560001	0.62992130	2.12598400
2.32620801	0.62992130	2.12598400
2.35681601	0.62992130	2.12598400
2.38742401	0.62992130	2.12598400
2.41803201	0.62992130	2.12598400
2.44864001	0.62992130	2.04724400
2.47924801	0.55118110	2.12598400
2.50985601	0.55118110	2.04724400
2.54046401	0.55118110	2.12598400
2.57107201	0.55118110	2.04724400
2.60168001	0.55118110	2.04724400
2.63228801	0.55118110	2.04724400
2.66289601	0.55118110	2.04724400
2.69350401	0.55118110	2.04724400
2.72411201	0.55118110	2.04724400
2.75472001	0.55118110	2.04724400
2.78532801	0.55118110	2.04724400
2.81593601	0.55118110	2.04724400
2.84654401	0.55118110	2.04724400
2.87715201	0.55118110	2.04724400
2.90776001	0.62992130	2.04724400
2.93836801	0.62992130	2.04724400
2.96897601	0.62992130	2.04724400
2.99958401	0.62992130	2.04724400
3.03019201	0.62992130	1.96850400
3.06080001	0.70866140	1.96850400
3.09140801	0.70866140	2.04724400
3.12201601	0.70866140	1.96850400
3.15262401	0.70866140	1.96850400
3.18323201	0.78740160	1.96850400
3.21384001	0.78740160	1.96850400
3.24444801	0.78740160	1.96850400
3.27505601	0.86614170	1.96850400
3.30566401	0.86614170	1.96850400
3.33627201	0.94488190	1.96850400
3.36688001	0.94488190	1.96850400
3.39748801	0.94488190	1.96850400
3.42809601	1.02362200	1.96850400
3.45870401	1.10236200	1.96850400
3.48931201	1.10236200	1.96850400
3.51992001	1.10236200	1.96850400
3.55052801	1.18110200	1.96850400
3.58113601	1.18110200	1.96850400
3.61174401	1.25984300	1.96850400
3.64235201	1.25984300	1.96850400
3.67296001	1.33858300	1.96850400
3.70356801	1.33858300	1.96850400
3.73417601	1.33858300	1.88976400
3.76478401	1.41732300	1.96850400
3.79539201	1.49606300	1.88976400
3.82600001	1.49606300	1.88976400
