Tid	Kanal A	Kanal B
(ms)	(V)	(V)

0.00000000	1.65354300	8.97637700
0.03060800	1.65354300	8.97637700
0.06121600	1.73228300	8.97637700
0.09182400	1.65354300	8.97637700
0.12243200	1.65354300	8.97637700
0.15304000	1.73228300	8.97637700
0.18364800	1.73228300	9.05511800
0.21425600	1.65354300	8.97637700
0.24486400	1.73228300	9.05511800
0.27547200	1.73228300	8.97637700
0.30608000	1.73228300	9.05511800
0.33668800	1.73228300	8.97637700
0.36729600	1.73228300	9.05511800
0.39790400	1.73228300	9.05511800
0.42851200	1.73228300	9.05511800
0.45912000	1.73228300	9.05511800
0.48972800	1.73228300	9.05511800
0.52033600	1.73228300	9.05511800
0.55094400	1.73228300	9.05511800
0.58155200	1.73228300	9.05511800
0.61216000	1.73228300	9.05511800
0.64276800	1.73228300	9.05511800
0.67337600	1.73228300	9.05511800
0.70398400	1.81102400	9.05511800
0.73459200	1.73228300	9.05511800
0.76520000	1.73228300	9.05511800
0.79580800	1.73228300	9.13385900
0.82641600	1.81102400	9.13385900
0.85702400	1.73228300	9.13385900
0.88763200	1.81102400	9.13385900
0.91824000	1.81102400	9.13385900
0.94884800	1.81102400	9.13385900
0.97945600	1.81102400	9.13385900
1.01006400	1.81102400	9.13385900
1.04067200	1.81102400	9.13385900
1.07128000	1.81102400	9.13385900
1.10188800	1.81102400	9.13385900
1.13249600	1.81102400	9.13385900
1.16310400	1.81102400	9.13385900
1.19371200	1.81102400	9.13385900
1.22432000	1.81102400	9.13385900
1.25492800	1.81102400	9.13385900
1.28553600	1.81102400	9.13385900
1.31614400	1.81102400	9.13385900
1.34675200	1.88976400	9.21259900
1.37736000	1.88976400	9.21259900
1.40796800	1.88976400	9.21259900
1.43857600	1.88976400	9.21259900
1.46918400	1.88976400	9.21259900
1.49979200	1.88976400	9.21259900
1.53040000	1.88976400	9.21259900
1.56100800	1.88976400	9.21259900
1.59161600	1.88976400	9.21259900
1.62222400	1.88976400	9.21259900
1.65283200	1.88976400	9.21259900
1.68344000	1.88976400	9.21259900
1.71404800	1.88976400	9.21259900
1.74465601	1.96850400	9.21259900
1.77526401	1.96850400	9.21259900
1.80587201	1.88976400	9.21259900
1.83648001	1.96850400	9.21259900
1.86708801	1.96850400	9.21259900
1.89769601	1.96850400	9.21259900
1.92830401	1.96850400	9.21259900
1.95891201	1.96850400	9.29133900
1.98952001	1.96850400	9.29133900
2.02012801	1.96850400	9.29133900
2.05073601	1.96850400	9.29133900
2.08134401	1.96850400	9.29133900
2.11195201	2.04724400	9.29133900
2.14256001	2.04724400	9.29133900
2.17316801	2.04724400	9.29133900
2.20377601	2.04724400	9.29133900
2.23438401	2.04724400	9.29133900
2.26499201	2.04724400	9.29133900
2.29560001	2.04724400	9.29133900
2.32620801	2.04724400	9.37007900
2.35681601	2.04724400	9.29133900
2.38742401	2.04724400	9.29133900
2.41803201	2.12598400	9.29133900
2.44864001	2.04724400	9.37007900
2.47924801	2.12598400	9.29133900
2.50985601	2.12598400	9.37007900
2.54046401	2.12598400	9.37007900
2.57107201	2.12598400	9.37007900
2.60168001	2.12598400	9.37007900
2.63228801	2.12598400	9.37007900
2.66289601	2.12598400	9.37007900
2.69350401	2.12598400	9.37007900
2.72411201	2.12598400	9.37007900
2.75472001	2.12598400	9.37007900
2.78532801	2.20472400	9.37007900
2.81593601	2.20472400	9.37007900
2.84654401	2.20472400	9.37007900
2.87715201	2.20472400	9.44881900
2.90776001	2.20472400	9.37007900
2.93836801	2.20472400	9.44881900
2.96897601	2.20472400	9.44881900
2.99958401	2.20472400	9.44881900
3.03019201	2.20472400	9.37007900
3.06080001	2.20472400	9.44881900
3.09140801	2.28346500	9.44881900
3.12201601	2.28346500	9.44881900
3.15262401	2.28346500	9.44881900
3.18323201	2.28346500	9.44881900
3.21384001	2.28346500	9.44881900
3.24444801	2.28346500	9.44881900
3.27505601	2.28346500	9.44881900
3.30566401	2.28346500	9.44881900
3.33627201	2.28346500	9.44881900
3.36688001	2.28346500	9.44881900
3.39748801	2.28346500	9.44881900
3.42809601	2.36220500	9.44881900
3.45870401	2.36220500	9.44881900
3.48931201	2.36220500	9.44881900
3.51992001	2.36220500	9.44881900
3.55052801	2.36220500	9.44881900
3.58113601	2.36220500	9.44881900
3.61174401	2.36220500	9.52755900
3.64235201	2.36220500	9.44881900
3.67296001	2.44094500	9.52755900
3.70356801	2.44094500	9.52755900
3.73417601	2.44094500	9.52755900
3.76478401	2.44094500	9.44881900
3.79539201	2.44094500	9.52755900
3.82600001	2.44094500	9.52755900
