Tid	Kanal A	Kanal B
(ms)	(V)	(V)

0.00000000	1.18110200	3.54330700
0.03060800	1.18110200	3.46456700
0.06121600	1.25984300	3.46456700
0.09182400	1.25984300	3.46456700
0.12243200	1.33858300	3.46456700
0.15304000	1.33858300	3.46456700
0.18364800	1.41732300	3.54330700
0.21425600	1.41732300	3.46456700
0.24486400	1.41732300	3.46456700
0.27547200	1.49606300	3.46456700
0.30608000	1.57480300	3.46456700
0.33668800	1.57480300	3.46456700
0.36729600	1.65354300	3.46456700
0.39790400	1.65354300	3.46456700
0.42851200	1.73228300	3.46456700
0.45912000	1.81102400	3.46456700
0.48972800	1.81102400	3.46456700
0.52033600	1.88976400	3.38582700
0.55094400	1.88976400	3.46456700
0.58155200	1.96850400	3.46456700
0.61216000	2.04724400	3.46456700
0.64276800	2.04724400	3.38582700
0.67337600	2.12598400	3.46456700
0.70398400	2.12598400	3.38582700
0.73459200	2.20472400	3.38582700
0.76520000	2.28346500	3.38582700
0.79580800	2.28346500	3.38582700
0.82641600	2.36220500	3.38582700
0.85702400	2.44094500	3.38582700
0.88763200	2.44094500	3.38582700
0.91824000	2.51968500	3.38582700
0.94884800	2.59842500	3.38582700
0.97945600	2.59842500	3.38582700
1.01006400	2.67716500	3.38582700
1.04067200	2.75590500	3.38582700
1.07128000	2.75590500	3.30708700
1.10188800	2.83464600	3.38582700
1.13249600	2.91338600	3.38582700
1.16310400	2.91338600	3.38582700
1.19371200	2.99212600	3.38582700
1.22432000	3.07086600	3.30708700
1.25492800	3.14960600	3.30708700
1.28553600	3.14960600	3.38582700
1.31614400	3.22834600	3.30708700
1.34675200	3.22834600	3.30708700
1.37736000	3.30708700	3.30708700
1.40796800	3.38582700	3.30708700
1.43857600	3.38582700	3.30708700
1.46918400	3.46456700	3.30708700
1.49979200	3.54330700	3.30708700
1.53040000	3.54330700	3.30708700
1.56100800	3.62204700	3.30708700
1.59161600	3.70078700	3.30708700
1.62222400	3.70078700	3.30708700
1.65283200	3.77952800	3.30708700
1.68344000	3.85826800	3.30708700
1.71404800	3.85826800	3.30708700
1.74465601	3.93700800	3.30708700
1.77526401	3.93700800	3.22834600
1.80587201	4.01574800	3.22834600
1.83648001	4.09448800	3.22834600
1.86708801	4.17322800	3.22834600
1.89769601	4.17322800	3.22834600
1.92830401	4.25196800	3.22834600
1.95891201	4.33070900	3.22834600
1.98952001	4.33070900	3.22834600
2.02012801	4.40944900	3.22834600
2.05073601	4.48818900	3.22834600
2.08134401	4.48818900	3.22834600
2.11195201	4.56692900	3.22834600
2.14256001	4.64566900	3.22834600
2.17316801	4.64566900	3.22834600
2.20377601	4.72441000	3.22834600
2.23438401	4.72441000	3.22834600
2.26499201	4.80315000	3.22834600
2.29560001	4.88189000	3.14960600
2.32620801	4.88189000	3.22834600
2.35681601	4.96063000	3.14960600
2.38742401	5.03937000	3.22834600
2.41803201	5.03937000	3.14960600
2.44864001	5.11811000	3.14960600
2.47924801	5.19685000	3.14960600
2.50985601	5.19685000	3.14960600
2.54046401	5.27559000	3.14960600
2.57107201	5.35433100	3.14960600
2.60168001	5.35433100	3.14960600
2.63228801	5.43307100	3.14960600
2.66289601	5.51181100	3.14960600
2.69350401	5.51181100	3.14960600
2.72411201	5.59055100	3.14960600
2.75472001	5.66929100	3.14960600
2.78532801	5.66929100	3.14960600
2.81593601	5.74803200	3.14960600
2.84654401	5.82677200	3.07086600
2.87715201	5.82677200	3.14960600
2.90776001	5.90551200	3.07086600
2.93836801	5.90551200	3.14960600
2.96897601	5.98425200	3.14960600
2.99958401	6.06299200	3.07086600
3.03019201	6.06299200	3.07086600
3.06080001	6.14173200	3.14960600
3.09140801	6.22047200	3.07086600
3.12201601	6.22047200	3.07086600
3.15262401	6.29921200	3.07086600
3.18323201	6.29921200	3.07086600
3.21384001	6.37795300	3.07086600
3.24444801	6.37795300	3.07086600
3.27505601	6.45669300	3.07086600
3.30566401	6.53543300	3.07086600
3.33627201	6.53543300	3.07086600
3.36688001	6.61417300	3.07086600
3.39748801	6.61417300	3.07086600
3.42809601	6.69291400	3.07086600
3.45870401	6.69291400	3.07086600
3.48931201	6.77165400	2.99212600
3.51992001	6.77165400	2.99212600
3.55052801	6.85039400	3.07086600
3.58113601	6.85039400	2.99212600
3.61174401	6.92913400	2.99212600
3.64235201	6.92913400	2.99212600
3.67296001	7.00787400	2.99212600
3.70356801	7.00787400	2.99212600
3.73417601	7.00787400	2.99212600
3.76478401	7.08661400	2.99212600
3.79539201	7.08661400	2.99212600
3.82600001	7.16535400	2.99212600
