Tid	Kanal A	Kanal B
(ms)	(V)	(V)

0.00000000	4.56692900	4.56692900
0.01224000	4.56692900	4.56692900
0.02448000	4.64566900	4.56692900
0.03672000	4.72441000	4.40944900
0.04896000	4.80315000	4.40944900
0.06120000	4.80315000	4.40944900
0.07344000	4.88189000	4.40944900
0.08568000	4.96063000	4.40944900
0.09792000	5.03937000	4.40944900
0.11016000	5.03937000	4.40944900
0.12240000	5.11811000	4.40944900
0.13464000	5.19685000	4.40944900
0.14688000	5.19685000	4.40944900
0.15912000	5.27559000	4.40944900
0.17136000	5.35433100	4.40944900
0.18360000	5.35433100	4.40944900
0.19584000	5.43307100	4.40944900
0.20807999	5.51181100	4.40944900
0.22031999	5.51181100	4.40944900
0.23255999	5.59055100	4.40944900
0.24479999	5.66929100	4.40944900
0.25703999	5.66929100	4.40944900
0.26927999	5.74803200	4.25196800
0.28151999	5.74803200	4.25196800
0.29375999	5.82677200	4.25196800
0.30599999	5.82677200	4.25196800
0.31823999	5.90551200	4.25196800
0.33047999	5.98425200	4.25196800
0.34271999	5.98425200	4.25196800
0.35495999	6.06299200	4.25196800
0.36719999	6.06299200	4.25196800
0.37943999	6.14173200	4.25196800
0.39167999	6.14173200	4.25196800
0.40391999	6.22047200	4.25196800
0.41615999	6.22047200	4.25196800
0.42839999	6.29921200	4.25196800
0.44063999	6.29921200	4.25196800
0.45287999	6.37795300	4.25196800
0.46511999	6.37795300	4.25196800
0.47735999	6.45669300	4.25196800
0.48959999	6.45669300	4.25196800
0.50183999	6.45669300	4.25196800
0.51407999	6.53543300	4.25196800
0.52631999	6.53543300	4.09448800
0.53855999	6.53543300	4.09448800
0.55079999	6.61417300	4.09448800
0.56303999	6.61417300	4.09448800
0.57527999	6.61417300	4.09448800
0.58751999	6.69291400	4.09448800
0.59975999	6.69291400	4.09448800
0.61199999	6.77165400	4.09448800
0.62423998	6.77165400	4.09448800
0.63647998	6.77165400	4.09448800
0.64871998	6.85039400	4.09448800
0.66095998	6.85039400	4.09448800
0.67319998	6.85039400	4.09448800
0.68543998	6.85039400	4.09448800
0.69767998	6.85039400	4.09448800
0.70991998	6.92913400	4.09448800
0.72215998	6.92913400	4.09448800
0.73439998	6.92913400	4.09448800
0.74663998	7.00787400	3.93700800
0.75887998	7.00787400	4.09448800
0.77111998	7.00787400	3.93700800
0.78335998	7.00787400	3.93700800
0.79559998	7.00787400	3.93700800
0.80783998	7.00787400	3.93700800
0.82007998	7.00787400	3.93700800
0.83231998	7.08661400	3.93700800
0.84455998	7.08661400	3.93700800
0.85679998	7.08661400	3.93700800
0.86903998	7.08661400	3.93700800
0.88127998	7.08661400	3.93700800
0.89351998	7.08661400	3.93700800
0.90575998	7.08661400	3.93700800
0.91799998	7.08661400	3.93700800
0.93023998	7.16535400	3.93700800
0.94247998	7.08661400	3.93700800
0.95471998	7.08661400	3.93700800
0.96695998	7.08661400	3.93700800
0.97919998	7.08661400	3.93700800
0.99143998	7.08661400	3.93700800
1.00367998	7.08661400	3.93700800
1.01591998	7.08661400	3.77952800
1.02815998	7.08661400	3.77952800
1.04039997	7.08661400	3.77952800
1.05263997	7.08661400	3.77952800
1.06487997	7.08661400	3.77952800
1.07711997	7.08661400	3.77952800
1.08935997	7.00787400	3.77952800
1.10159997	7.08661400	3.77952800
1.11383997	7.00787400	3.77952800
1.12607997	7.00787400	3.77952800
1.13831997	7.00787400	3.77952800
1.15055997	7.00787400	3.77952800
1.16279997	7.00787400	3.77952800
1.17503997	6.92913400	3.77952800
1.18727997	6.92913400	3.77952800
1.19951997	6.92913400	3.77952800
1.21175997	6.92913400	3.77952800
1.22399997	6.85039400	3.77952800
1.23623997	6.85039400	3.77952800
1.24847997	6.85039400	3.62204700
1.26071997	6.77165400	3.62204700
1.27295997	6.77165400	3.62204700
1.28519997	6.77165400	3.62204700
1.29743997	6.69291400	3.62204700
1.30967997	6.69291400	3.62204700
1.32191997	6.69291400	3.62204700
1.33415997	6.61417300	3.62204700
1.34639997	6.61417300	3.62204700
1.35863997	6.53543300	3.62204700
1.37087997	6.53543300	3.62204700
1.38311997	6.45669300	3.62204700
1.39535997	6.45669300	3.62204700
1.40759997	6.37795300	3.62204700
1.41983997	6.37795300	3.62204700
1.43207997	6.29921200	3.62204700
1.44431997	6.29921200	3.62204700
1.45655996	6.22047200	3.46456700
1.46879996	6.14173200	3.62204700
1.48103996	6.14173200	3.62204700
1.49327996	6.06299200	3.62204700
1.50551996	6.06299200	3.46456700
1.51775996	5.98425200	3.46456700
1.52999996	5.90551200	3.46456700
