Frekvens	Kanal A	Kanal B
(ms)	(V)	(V)

0.00000000	3.70078700	3.54330700
0.01224000	3.70078700	3.54330700
0.02448000	3.70078700	3.54330700
0.03672000	3.70078700	3.54330700
0.04896000	3.70078700	3.54330700
0.06120000	3.77952800	3.54330700
0.07344000	3.77952800	3.54330700
0.08568000	3.77952800	3.54330700
0.09792000	3.77952800	3.54330700
0.11016000	3.85826800	3.54330700
0.12240000	3.85826800	3.54330700
0.13464000	3.85826800	3.54330700
0.14688000	3.85826800	3.54330700
0.15912000	3.85826800	3.54330700
0.17136000	3.85826800	3.54330700
0.18360000	3.85826800	3.54330700
0.19584000	3.93700800	3.54330700
0.20807999	3.93700800	3.54330700
0.22031999	3.93700800	3.54330700
0.23255999	3.93700800	3.54330700
0.24479999	3.93700800	3.54330700
0.25703999	3.93700800	3.54330700
0.26927999	4.01574800	3.54330700
0.28151999	4.01574800	3.46456700
0.29375999	4.01574800	3.54330700
0.30599999	4.01574800	3.46456700
0.31823999	4.01574800	3.54330700
0.33047999	4.09448800	3.46456700
0.34271999	4.09448800	3.54330700
0.35495999	4.09448800	3.46456700
0.36719999	4.09448800	3.54330700
0.37943999	4.09448800	3.46456700
0.39167999	4.09448800	3.46456700
0.40391999	4.17322800	3.46456700
0.41615999	4.17322800	3.46456700
0.42839999	4.17322800	3.46456700
0.44063999	4.17322800	3.46456700
0.45287999	4.17322800	3.46456700
0.46511999	4.25196800	3.46456700
0.47735999	4.25196800	3.46456700
0.48959999	4.25196800	3.46456700
0.50183999	4.25196800	3.46456700
0.51407999	4.25196800	3.46456700
0.52631999	4.25196800	3.46456700
0.53855999	4.25196800	3.46456700
0.55079999	4.33070900	3.46456700
0.56303999	4.33070900	3.46456700
0.57527999	4.33070900	3.46456700
0.58751999	4.33070900	3.46456700
0.59975999	4.33070900	3.46456700
0.61199999	4.33070900	3.46456700
0.62423998	4.33070900	3.46456700
0.63647998	4.40944900	3.46456700
0.64871998	4.40944900	3.46456700
0.66095998	4.40944900	3.46456700
0.67319998	4.40944900	3.46456700
0.68543998	4.40944900	3.46456700
0.69767998	4.48818900	3.46456700
0.70991998	4.48818900	3.46456700
0.72215998	4.48818900	3.46456700
0.73439998	4.48818900	3.46456700
0.74663998	4.48818900	3.46456700
0.75887998	4.48818900	3.46456700
0.77111998	4.48818900	3.38582700
0.78335998	4.48818900	3.46456700
0.79559998	4.56692900	3.38582700
0.80783998	4.56692900	3.46456700
0.82007998	4.56692900	3.46456700
0.83231998	4.56692900	3.46456700
0.84455998	4.56692900	3.46456700
0.85679998	4.56692900	3.46456700
0.86903998	4.56692900	3.38582700
0.88127998	4.64566900	3.46456700
0.89351998	4.64566900	3.46456700
0.90575998	4.64566900	3.46456700
0.91799998	4.64566900	3.38582700
0.93023998	4.64566900	3.38582700
0.94247998	4.64566900	3.38582700
0.95471998	4.72441000	3.38582700
0.96695998	4.64566900	3.38582700
0.97919998	4.72441000	3.38582700
0.99143998	4.72441000	3.38582700
1.00367998	4.72441000	3.38582700
1.01591998	4.72441000	3.38582700
1.02815998	4.72441000	3.46456700
1.04039997	4.72441000	3.38582700
1.05263997	4.80315000	3.38582700
1.06487997	4.80315000	3.38582700
1.07711997	4.80315000	3.38582700
1.08935997	4.80315000	3.38582700
1.10159997	4.80315000	3.38582700
1.11383997	4.80315000	3.38582700
1.12607997	4.80315000	3.38582700
1.13831997	4.88189000	3.38582700
1.15055997	4.88189000	3.38582700
1.16279997	4.88189000	3.38582700
1.17503997	4.88189000	3.38582700
1.18727997	4.88189000	3.38582700
1.19951997	4.88189000	3.38582700
1.21175997	4.88189000	3.38582700
1.22399997	4.96063000	3.38582700
1.23623997	4.88189000	3.38582700
1.24847997	4.96063000	3.38582700
1.26071997	4.96063000	3.38582700
1.27295997	4.96063000	3.38582700
1.28519997	4.96063000	3.38582700
1.29743997	4.96063000	3.38582700
1.30967997	4.96063000	3.38582700
1.32191997	4.96063000	3.38582700
1.33415997	4.96063000	3.38582700
1.34639997	5.03937000	3.38582700
1.35863997	5.03937000	3.38582700
1.37087997	5.03937000	3.38582700
1.38311997	5.03937000	3.30708700
1.39535997	5.03937000	3.38582700
1.40759997	5.03937000	3.30708700
1.41983997	5.03937000	3.38582700
1.43207997	5.03937000	3.30708700
1.44431997	5.03937000	3.38582700
1.45655996	5.11811000	3.30708700
1.46879996	5.11811000	3.38582700
1.48103996	5.11811000	3.30708700
1.49327996	5.11811000	3.30708700
1.50551996	5.11811000	3.30708700
1.51775996	5.11811000	3.38582700
1.52999996	5.11811000	3.30708700
