Tid	Kanal A	Kanal B
(ms)	(V)	(V)

0.00000000	0.62992130	4.25196800
0.03060800	0.55118110	4.17322800
0.06121600	0.55118110	4.17322800
0.09182400	0.55118110	4.17322800
0.12243200	0.55118110	4.17322800
0.15304000	0.55118110	4.17322800
0.18364800	0.55118110	4.17322800
0.21425600	0.47244100	4.17322800
0.24486400	0.55118110	4.17322800
0.27547200	0.47244100	4.17322800
0.30608000	0.55118110	4.17322800
0.33668800	0.47244100	4.17322800
0.36729600	0.47244100	4.17322800
0.39790400	0.47244100	4.17322800
0.42851200	0.47244100	4.17322800
0.45912000	0.47244100	4.09448800
0.48972800	0.47244100	4.09448800
0.52033600	0.47244100	4.09448800
0.55094400	0.47244100	4.09448800
0.58155200	0.47244100	4.09448800
0.61216000	0.55118110	4.09448800
0.64276800	0.55118110	4.09448800
0.67337600	0.55118110	4.09448800
0.70398400	0.55118110	4.09448800
0.73459200	0.55118110	4.09448800
0.76520000	0.55118110	4.09448800
0.79580800	0.62992130	4.09448800
0.82641600	0.62992130	4.09448800
0.85702400	0.62992130	4.09448800
0.88763200	0.62992130	4.09448800
0.91824000	0.70866140	4.09448800
0.94884800	0.70866140	4.09448800
0.97945600	0.70866140	4.09448800
1.01006400	0.70866140	4.09448800
1.04067200	0.78740160	4.01574800
1.07128000	0.78740160	4.09448800
1.10188800	0.78740160	4.01574800
1.13249600	0.86614170	4.01574800
1.16310400	0.86614170	4.01574800
1.19371200	0.86614170	4.01574800
1.22432000	0.94488190	4.01574800
1.25492800	0.94488190	4.01574800
1.28553600	1.02362200	4.01574800
1.31614400	1.02362200	4.01574800
1.34675200	1.10236200	4.01574800
1.37736000	1.10236200	4.01574800
1.40796800	1.10236200	4.01574800
1.43857600	1.18110200	4.01574800
1.46918400	1.18110200	4.01574800
1.49979200	1.25984300	4.01574800
1.53040000	1.25984300	3.93700800
1.56100800	1.33858300	4.01574800
1.59161600	1.33858300	3.93700800
1.62222400	1.33858300	3.93700800
1.65283200	1.41732300	3.93700800
1.68344000	1.41732300	3.93700800
1.71404800	1.49606300	3.93700800
1.74465601	1.49606300	3.93700800
1.77526401	1.57480300	3.93700800
1.80587201	1.57480300	3.93700800
1.83648001	1.57480300	3.93700800
1.86708801	1.65354300	3.93700800
1.89769601	1.73228300	3.93700800
1.92830401	1.73228300	3.93700800
1.95891201	1.81102400	3.93700800
1.98952001	1.81102400	3.93700800
2.02012801	1.81102400	3.85826800
2.05073601	1.88976400	3.93700800
2.08134401	1.96850400	3.85826800
2.11195201	1.96850400	3.85826800
2.14256001	1.96850400	3.85826800
2.17316801	2.04724400	3.85826800
2.20377601	2.04724400	3.85826800
2.23438401	2.12598400	3.85826800
2.26499201	2.12598400	3.85826800
2.29560001	2.20472400	3.85826800
2.32620801	2.28346500	3.85826800
2.35681601	2.28346500	3.85826800
2.38742401	2.36220500	3.85826800
2.41803201	2.36220500	3.85826800
2.44864001	2.44094500	3.85826800
2.47924801	2.44094500	3.85826800
2.50985601	2.51968500	3.85826800
2.54046401	2.51968500	3.85826800
2.57107201	2.59842500	3.85826800
2.60168001	2.67716500	3.85826800
2.63228801	2.67716500	3.77952800
2.66289601	2.75590500	3.77952800
2.69350401	2.83464600	3.77952800
2.72411201	2.83464600	3.85826800
2.75472001	2.91338600	3.77952800
2.78532801	2.91338600	3.77952800
2.81593601	2.99212600	3.77952800
2.84654401	3.07086600	3.77952800
2.87715201	3.14960600	3.77952800
2.90776001	3.14960600	3.77952800
2.93836801	3.22834600	3.77952800
2.96897601	3.30708700	3.77952800
2.99958401	3.30708700	3.77952800
3.03019201	3.38582700	3.77952800
3.06080001	3.46456700	3.77952800
3.09140801	3.54330700	3.77952800
3.12201601	3.54330700	3.70078700
3.15262401	3.62204700	3.70078700
3.18323201	3.62204700	3.70078700
3.21384001	3.70078700	3.70078700
3.24444801	3.77952800	3.70078700
3.27505601	3.77952800	3.70078700
3.30566401	3.85826800	3.70078700
3.33627201	3.93700800	3.70078700
3.36688001	4.01574800	3.70078700
3.39748801	4.01574800	3.70078700
3.42809601	4.09448800	3.70078700
3.45870401	4.17322800	3.70078700
3.48931201	4.17322800	3.70078700
3.51992001	4.25196800	3.70078700
3.55052801	4.33070900	3.70078700
3.58113601	4.33070900	3.70078700
3.61174401	4.40944900	3.70078700
3.64235201	4.48818900	3.62204700
3.67296001	4.56692900	3.70078700
3.70356801	4.56692900	3.62204700
3.73417601	4.64566900	3.62204700
3.76478401	4.64566900	3.62204700
3.79539201	4.72441000	3.62204700
3.82600001	4.80315000	3.62204700
