Tid	Kanal A
(s)	(V)

0.00000000	0.78740160
0.00003061	0.78740160
0.00006122	0.78740160
0.00009182	0.78740160
0.00012243	0.78740160
0.00015304	0.78740160
0.00018365	0.78740160
0.00021426	0.78740160
0.00024486	0.78740160
0.00027547	0.78740160
0.00030608	0.78740160
0.00033669	0.78740160
0.00036730	0.78740160
0.00039790	0.78740160
0.00042851	0.78740160
0.00045912	0.78740160
0.00048973	0.78740160
0.00052034	0.78740160
0.00055094	0.78740160
0.00058155	0.78740160
0.00061216	0.78740160
0.00064277	0.78740160
0.00067338	0.78740160
0.00070398	0.78740160
0.00073459	0.78740160
0.00076520	0.78740160
0.00079581	0.78740160
0.00082642	0.78740160
0.00085702	0.78740160
0.00088763	0.78740160
0.00091824	0.78740160
0.00094885	0.78740160
0.00097946	0.78740160
0.00101006	0.78740160
0.00104067	0.78740160
0.00107128	0.78740160
0.00110189	0.78740160
0.00113250	0.78740160
0.00116310	0.78740160
0.00119371	0.78740160
0.00122432	0.78740160
0.00125493	0.78740160
0.00128554	0.78740160
0.00131614	0.78740160
0.00134675	0.78740160
0.00137736	0.78740160
0.00140797	0.78740160
0.00143858	0.78740160
0.00146918	0.70866140
0.00149979	0.78740160
0.00153040	0.70866140
0.00156101	0.78740160
0.00159162	0.78740160
0.00162222	0.78740160
0.00165283	0.78740160
0.00168344	0.70866140
0.00171405	0.70866140
0.00174466	0.78740160
0.00177526	0.78740160
0.00180587	0.78740160
0.00183648	0.70866140
0.00186709	0.78740160
0.00189770	0.78740160
0.00192830	0.78740160
0.00195891	0.70866140
0.00198952	0.78740160
0.00202013	0.70866140
0.00205074	0.78740160
0.00208134	0.70866140
0.00211195	0.70866140
0.00214256	0.70866140
0.00217317	0.70866140
0.00220378	0.70866140
0.00223438	0.70866140
0.00226499	0.70866140
0.00229560	0.70866140
0.00232621	0.70866140
0.00235682	0.78740160
0.00238742	0.70866140
0.00241803	0.78740160
0.00244864	0.78740160
0.00247925	0.70866140
0.00250986	0.78740160
0.00254046	0.78740160
0.00257107	0.78740160
0.00260168	0.78740160
0.00263229	0.78740160
0.00266290	0.78740160
0.00269350	0.78740160
0.00272411	0.78740160
0.00275472	0.78740160
0.00278533	0.78740160
0.00281594	0.78740160
0.00284654	0.78740160
0.00287715	0.78740160
0.00290776	0.78740160
0.00293837	0.78740160
0.00296898	0.70866140
0.00299958	0.70866140
0.00303019	0.78740160
0.00306080	0.78740160
0.00309141	0.78740160
0.00312202	0.78740160
0.00315262	0.78740160
0.00318323	0.78740160
0.00321384	0.78740160
0.00324445	0.78740160
0.00327506	0.78740160
0.00330566	0.70866140
0.00333627	0.78740160
0.00336688	0.78740160
0.00339749	0.78740160
0.00342810	0.78740160
0.00345870	0.78740160
0.00348931	0.78740160
0.00351992	0.78740160
0.00355053	0.78740160
0.00358114	0.78740160
0.00361174	0.70866140
0.00364235	0.78740160
0.00367296	0.78740160
0.00370357	0.70866140
0.00373418	0.70866140
0.00376478	0.78740160
0.00379539	0.70866140
0.00382600	0.78740160
0.00385661	0.78740160
0.00388722	0.78740160
0.00391782	0.78740160
0.00394843	0.78740160
0.00397904	0.70866140
0.00400965	0.78740160
0.00404026	0.70866140
0.00407086	0.78740160
0.00410147	0.78740160
0.00413208	0.78740160
0.00416269	0.70866140
0.00419330	0.70866140
0.00422390	0.70866140
0.00425451	0.70866140
0.00428512	0.78740160
0.00431573	0.78740160
0.00434634	0.70866140
0.00437694	0.78740160
0.00440755	0.70866140
0.00443816	0.78740160
0.00446877	0.78740160
0.00449938	0.78740160
0.00452998	0.78740160
0.00456059	0.78740160
0.00459120	0.70866140
0.00462181	0.78740160
0.00465242	0.78740160
0.00468302	0.78740160
0.00471363	0.78740160
0.00474424	0.78740160
0.00477485	0.78740160
0.00480546	0.78740160
0.00483606	0.70866140
0.00486667	0.78740160
0.00489728	0.70866140
0.00492789	0.78740160
0.00495850	0.78740160
0.00498910	0.78740160
0.00501971	0.70866140
0.00505032	0.70866140
0.00508093	0.70866140
0.00511154	0.70866140
0.00514214	0.70866140
0.00517275	0.78740160
0.00520336	0.70866140
0.00523397	0.78740160
0.00526458	0.78740160
0.00529518	0.78740160
0.00532579	0.70866140
0.00535640	0.78740160
