Tid	Kanal A	Kanal B
(ms)	(V)	(V)

0.00000000	1.41732300	4.88189000
0.03060800	1.49606300	4.88189000
0.06121600	1.49606300	4.88189000
0.09182400	1.49606300	4.88189000
0.12243200	1.49606300	4.88189000
0.15304000	1.57480300	5.03937000
0.18364800	1.57480300	5.03937000
0.21425600	1.57480300	5.03937000
0.24486400	1.65354300	5.03937000
0.27547200	1.65354300	5.03937000
0.30608000	1.73228300	5.03937000
0.33668800	1.73228300	5.03937000
0.36729600	1.73228300	5.03937000
0.39790400	1.73228300	5.03937000
0.42851200	1.81102400	5.03937000
0.45912000	1.81102400	5.03937000
0.48972800	1.81102400	5.03937000
0.52033600	1.88976400	5.03937000
0.55094400	1.88976400	5.03937000
0.58155200	1.96850400	5.03937000
0.61216000	1.96850400	5.03937000
0.64276800	1.96850400	5.03937000
0.67337600	2.04724400	5.03937000
0.70398400	2.04724400	5.03937000
0.73459200	2.04724400	5.03937000
0.76520000	2.04724400	5.19685000
0.79580800	2.12598400	5.03937000
0.82641600	2.12598400	5.19685000
0.85702400	2.20472400	5.19685000
0.88763200	2.20472400	5.19685000
0.91824000	2.20472400	5.19685000
0.94884800	2.20472400	5.19685000
0.97945600	2.28346500	5.19685000
1.01006400	2.28346500	5.19685000
1.04067200	2.28346500	5.19685000
1.07128000	2.36220500	5.19685000
1.10188800	2.36220500	5.19685000
1.13249600	2.44094500	5.19685000
1.16310400	2.44094500	5.19685000
1.19371200	2.51968500	5.19685000
1.22432000	2.51968500	5.19685000
1.25492800	2.51968500	5.19685000
1.28553600	2.59842500	5.19685000
1.31614400	2.59842500	5.19685000
1.34675200	2.59842500	5.19685000
1.37736000	2.67716500	5.19685000
1.40796800	2.67716500	5.19685000
1.43857600	2.75590500	5.35433100
1.46918400	2.75590500	5.35433100
1.49979200	2.83464600	5.35433100
1.53040000	2.83464600	5.35433100
1.56100800	2.91338600	5.35433100
1.59161600	2.91338600	5.35433100
1.62222400	2.91338600	5.35433100
1.65283200	2.99212600	5.35433100
1.68344000	2.99212600	5.35433100
1.71404800	3.07086600	5.35433100
1.74465601	3.07086600	5.35433100
1.77526401	3.14960600	5.35433100
1.80587201	3.14960600	5.35433100
1.83648001	3.22834600	5.35433100
1.86708801	3.22834600	5.35433100
1.89769601	3.22834600	5.35433100
1.92830401	3.30708700	5.35433100
1.95891201	3.38582700	5.35433100
1.98952001	3.38582700	5.35433100
2.02012801	3.46456700	5.35433100
2.05073601	3.46456700	5.35433100
2.08134401	3.54330700	5.35433100
2.11195201	3.54330700	5.35433100
2.14256001	3.54330700	5.51181100
2.17316801	3.62204700	5.51181100
2.20377601	3.70078700	5.51181100
2.23438401	3.77952800	5.51181100
2.26499201	3.77952800	5.51181100
2.29560001	3.85826800	5.51181100
2.32620801	3.85826800	5.51181100
2.35681601	3.93700800	5.51181100
2.38742401	3.93700800	5.51181100
2.41803201	4.01574800	5.51181100
2.44864001	4.01574800	5.51181100
2.47924801	4.09448800	5.51181100
2.50985601	4.17322800	5.51181100
2.54046401	4.17322800	5.51181100
2.57107201	4.25196800	5.51181100
2.60168001	4.25196800	5.51181100
2.63228801	4.33070900	5.51181100
2.66289601	4.33070900	5.51181100
2.69350401	4.40944900	5.51181100
2.72411201	4.40944900	5.66929100
2.75472001	4.48818900	5.66929100
2.78532801	4.48818900	5.66929100
2.81593601	4.56692900	5.66929100
2.84654401	4.56692900	5.66929100
2.87715201	4.64566900	5.66929100
2.90776001	4.64566900	5.66929100
2.93836801	4.72441000	5.66929100
2.96897601	4.72441000	5.66929100
2.99958401	4.80315000	5.66929100
3.03019201	4.80315000	5.66929100
3.06080001	4.88189000	5.66929100
3.09140801	4.88189000	5.66929100
3.12201601	4.88189000	5.66929100
3.15262401	4.96063000	5.66929100
3.18323201	4.96063000	5.66929100
3.21384001	5.03937000	5.66929100
3.24444801	5.03937000	5.66929100
3.27505601	5.03937000	5.66929100
3.30566401	5.11811000	5.66929100
3.33627201	5.11811000	5.66929100
3.36688001	5.11811000	5.82677200
3.39748801	5.19685000	5.82677200
3.42809601	5.19685000	5.82677200
3.45870401	5.27559000	5.82677200
3.48931201	5.27559000	5.82677200
3.51992001	5.27559000	5.82677200
3.55052801	5.35433100	5.82677200
3.58113601	5.35433100	5.82677200
3.61174401	5.35433100	5.82677200
3.64235201	5.35433100	5.82677200
3.67296001	5.43307100	5.82677200
3.70356801	5.43307100	5.82677200
3.73417601	5.43307100	5.82677200
3.76478401	5.43307100	5.82677200
3.79539201	5.51181100	5.82677200
3.82600001	5.51181100	5.82677200
