Tid	Kanal A
(s)	(V)

0.00000000	2.51968500
0.00016667	2.51968500
0.00033334	2.51968500
0.00050002	2.51968500
0.00066669	2.51968500
0.00083336	2.51968500
0.00100003	2.51968500
0.00116670	2.51968500
0.00133338	2.51968500
0.00150005	2.51968500
0.00166672	2.44094500
0.00183339	2.51968500
0.00200006	2.51968500
0.00216674	2.44094500
0.00233341	2.51968500
0.00250008	2.51968500
0.00266675	2.44094500
0.00283342	2.44094500
0.00300010	2.44094500
0.00316677	2.44094500
0.00333344	2.44094500
0.00350011	2.44094500
0.00366678	2.44094500
0.00383346	2.44094500
0.00400013	2.51968500
0.00416680	2.51968500
0.00433347	2.51968500
0.00450014	2.59842500
0.00466682	2.59842500
0.00483349	2.59842500
0.00500016	2.59842500
0.00516683	2.59842500
0.00533350	2.59842500
0.00550018	2.59842500
0.00566685	2.59842500
0.00583352	2.59842500
0.00600019	2.59842500
0.00616686	2.59842500
0.00633354	2.59842500
0.00650021	2.67716500
0.00666688	2.67716500
0.00683355	2.67716500
0.00700022	2.67716500
0.00716690	2.67716500
0.00733357	2.67716500
0.00750024	2.75590500
0.00766691	2.75590500
0.00783358	2.75590500
0.00800026	2.75590500
0.00816693	2.83464600
0.00833360	2.83464600
0.00850027	2.83464600
0.00866694	2.91338600
0.00883362	2.91338600
0.00900029	2.91338600
0.00916696	2.91338600
0.00933363	2.91338600
0.00950030	2.91338600
0.00966698	2.91338600
0.00983365	2.91338600
0.01000032	2.91338600
0.01016699	2.91338600
0.01033366	2.99212600
0.01050034	2.91338600
0.01066701	2.99212600
0.01083368	2.91338600
0.01100035	2.91338600
0.01116702	2.91338600
0.01133370	2.91338600
0.01150037	2.91338600
0.01166704	2.91338600
0.01183371	2.83464600
0.01200038	2.83464600
0.01216706	2.83464600
0.01233373	2.83464600
0.01250040	2.83464600
0.01266707	2.83464600
0.01283374	2.83464600
0.01300042	2.75590500
0.01316709	2.83464600
0.01333376	2.83464600
0.01350043	2.83464600
0.01366710	2.83464600
0.01383378	2.83464600
0.01400045	2.83464600
0.01416712	2.83464600
0.01433379	2.83464600
0.01450046	2.83464600
0.01466714	2.83464600
0.01483381	2.75590500
0.01500048	2.75590500
0.01516715	2.75590500
0.01533382	2.75590500
0.01550050	2.75590500
0.01566717	2.75590500
0.01583384	2.75590500
0.01600051	2.75590500
0.01616718	2.83464600
0.01633386	2.83464600
0.01650053	2.83464600
0.01666720	2.83464600
0.01683387	2.83464600
0.01700054	2.83464600
0.01716722	2.83464600
0.01733389	2.83464600
0.01750056	2.83464600
0.01766723	2.83464600
0.01783390	2.83464600
0.01800058	2.83464600
0.01816725	2.83464600
0.01833392	2.83464600
0.01850059	2.83464600
0.01866726	2.83464600
0.01883393	2.75590500
0.01900061	2.75590500
0.01916728	2.75590500
0.01933395	2.75590500
0.01950062	2.75590500
0.01966729	2.75590500
0.01983397	2.75590500
0.02000064	2.75590500
0.02016731	2.75590500
0.02033398	2.75590500
0.02050065	2.75590500
0.02066733	2.75590500
0.02083400	2.75590500
0.02100067	2.75590500
0.02116734	2.75590500
0.02133401	2.75590500
0.02150069	2.75590500
0.02166736	2.75590500
0.02183403	2.75590500
0.02200070	2.75590500
0.02216737	2.83464600
0.02233405	2.75590500
0.02250072	2.83464600
0.02266739	2.83464600
0.02283406	2.83464600
0.02300073	2.83464600
0.02316741	2.83464600
0.02333408	2.83464600
0.02350075	2.91338600
0.02366742	2.91338600
0.02383409	2.91338600
0.02400077	2.91338600
0.02416744	2.91338600
0.02433411	2.91338600
0.02450078	2.91338600
0.02466745	2.91338600
0.02483413	2.91338600
0.02500080	2.91338600
0.02516747	2.91338600
0.02533414	2.91338600
0.02550081	2.91338600
0.02566749	2.91338600
0.02583416	2.91338600
0.02600083	2.91338600
0.02616750	2.91338600
0.02633417	2.91338600
0.02650085	2.91338600
0.02666752	2.91338600
0.02683419	2.91338600
0.02700086	2.83464600
0.02716753	2.91338600
0.02733421	2.83464600
0.02750088	2.83464600
0.02766755	2.91338600
0.02783422	2.91338600
0.02800089	2.91338600
0.02816757	2.91338600
0.02833424	2.91338600
0.02850091	2.91338600
0.02866758	2.99212600
0.02883425	2.99212600
0.02900093	2.99212600
0.02916760	2.99212600
